"product_id";"brand_name";"product_name";"SKU";"SRP";"gross_weight";"net_weight";"recyclable_package";"low_fat";"units_per_case";"cases_per_pallet";"shelf_width";"shelf_height";"shelf_depth"
53;"Club";"Club Sharp Cheddar Cheese";-421415579;3.61;18.8;16.7;1;1;18;9;21.6;18.8;6.58
54;"Club";"Club Mild Cheddar Cheese";1329971059;2.93;9.58;7.57;0;1;15;14;15.9;11.7;3.87
55;"Club";"Club Large Curd Cottage Cheese";306707609;3.5;14.3;12.3;1;0;20;7;12.3;16.8;14.2
56;"Club";"Club 2% Milk";-507042064;0.71;20.6;18.6;1;0;21;7;4.1;15.3;11.6
57;"Club";"Club Buttermilk";1872885904;0.61;20.1;18.1;0;0;33;6;13.5;8.69;16.7
58;"Club";"Club Chocolate Milk";-2065620079;2.31;15.5;13.5;0;0;18;12;10.7;15.0;13.1
59;"Club";"Club 1% Milk";-383154773;1.4;18.8;15.7;0;0;1;6;5.57;16.3;22.1
60;"Club";"Club Whole Milk";-918469337;2.66;7.03;5.03;0;0;2;6;4.42;13.3;20.8
61;"Club";"Club Strawberry Yogurt";-887212684;0.74;13.4;11.3;0;1;22;12;16.3;11.5;13.8
62;"Club";"Club Blueberry Yogurt";-2119989911;3.82;14.1;11.1;0;1;32;8;11.0;17.4;5.51
63;"Red Spade";"Red Spade Chicken Hot Dogs";-1832449929;2.95;20.3;18.2;1;1;21;6;4.41;15.9;17.9
64;"Red Spade";"Red Spade Pimento Loaf";337964262;1.61;13.2;12.1;1;0;33;6;18.1;17.6;12.4
65;"Red Spade";"Red Spade Beef Bologna";1601402014;3.76;10.3;9.3;0;1;21;12;4.44;8.8;22.7
66;"Red Spade";"Red Spade Low Fat Bologna";-1220613752;3.44;11.9;8.89;1;1;31;9;5.0;19.1;14.1
67;"Red Spade";"Red Spade Turkey Hot Dogs";-654638662;1.86;6.15;4.15;0;1;27;12;19.9;7.96;10.3
68;"Red Spade";"Red Spade Foot-Long Hot Dogs";-73463011;3.56;16.0;14.0;1;1;2;13;20.2;10.0;4.12
69;"Red Spade";"Red Spade Low Fat Cole Slaw";-204950583;3.1;16.7;14.7;1;1;6;11;6.13;3.69;3.28
70;"Red Spade";"Red Spade Cole Slaw";-121424817;0.97;8.83;6.82;0;0;6;13;16.9;12.2;12.6
71;"Red Spade";"Red Spade Roasted Chicken";-1144688267;2.76;21.8;20.7;0;0;7;12;4.55;5.69;7.95
72;"Red Spade";"Red Spade Corned Beef";-1958437940;2.74;20.2;17.2;0;1;6;6;20.8;11.4;15.2
73;"Red Spade";"Red Spade Sliced Turkey";421490027;2.33;19.1;16.1;0;0;22;11;15.9;9.46;4.95
74;"Red Spade";"Red Spade Sliced Ham";777951341;1.57;6.13;5.13;0;1;5;7;3.38;18.8;20.8
75;"Red Spade";"Red Spade Potato Salad";-1834550649;0.68;16.9;14.8;0;1;26;11;18.1;8.74;11.9
76;"Red Spade";"Red Spade Sliced Chicken";1925102083;1.69;18.1;17.1;0;1;4;7;14.6;13.5;3.42
77;"Blue Medal";"Blue Medal Small Brown Eggs";-1384862570;2.8;14.7;12.6;0;1;13;12;20.0;10.2;8.86
78;"Blue Medal";"Blue Medal Large Brown Eggs";1677327500;2.19;19.5;17.5;1;1;3;6;8.29;14.2;9.13
79;"Blue Medal";"Blue Medal Small Eggs";1011121491;1.32;12.4;10.3;0;1;9;8;15.3;10.7;10.7
80;"Blue Medal";"Blue Medal Large Eggs";-1113431614;3.63;17.1;14.1;0;0;31;12;12.8;9.1;11.1
81;"Blue Medal";"Blue Medal Egg Substitute";150006138;2.13;17.0;15.0;0;0;35;7;12.8;18.2;10.5
82;"Golden";"Golden Low Fat Waffles";1622957668;2.7;21.3;18.2;0;1;25;13;7.06;6.61;11.0
83;"Golden";"Golden Orange Popsicles";-2106034538;3.88;18.0;17.0;1;0;11;10;10.7;3.3;21.5
84;"Golden";"Golden Frozen Chicken Breast";-1330545671;2.81;14.6;11.6;0;0;3;10;4.7;3.34;4.44
85;"Golden";"Golden Frozen Pancakes";-1656346459;1.36;7.12;5.11;0;1;29;11;9.53;3.09;16.1
86;"Golden";"Golden Low Fat French Fries";-1772633470;2.97;14.2;13.1;0;1;3;8;8.7;21.7;10.7
87;"Golden";"Golden Frozen Sausage Pizza";1499070376;1.78;19.0;17.0;1;0;19;6;15.2;21.2;18.6
88;"Golden";"Golden Blueberry Waffles";-74112072;0.86;7.86;6.86;1;0;6;12;10.5;12.9;18.9
89;"Golden";"Golden Fajita French Fries";-121477751;1.59;20.5;17.5;0;0;4;7;14.0;20.7;14.4
90;"Golden";"Golden Waffles";-1632690086;0.77;10.2;8.19;0;1;2;12;15.1;8.08;19.5
91;"Golden";"Golden Frozen Pepperoni Pizza";49775220;2.68;12.8;10.8;1;1;17;12;8.94;4.08;3.08
92;"Golden";"Golden Frozen Cheese Pizza";-485539345;0.83;17.1;16.1;1;0;25;5;4.09;16.8;18.6
93;"Golden";"Golden Frozen Mushroom Pizza";499463299;0.96;16.4;14.3;1;0;21;12;3.11;11.5;13.1
94;"Golden";"Golden Apple Cinnamon Waffles";-733313928;0.62;7.9;4.9;1;0;1;9;10.5;20.9;8.15
95;"Golden";"Golden Frozen Carrots";1227586487;1.46;8.58;5.57;1;0;29;9;16.6;3.52;22.3
96;"Golden";"Golden Turkey TV Dinner";1724640245;2.11;10.7;9.69;1;1;35;8;17.5;21.7;13.5
97;"Golden";"Golden Chicken TV Dinner";1770660132;0.59;18.3;16.2;1;0;26;7;16.4;16.9;5.55
98;"Golden";"Golden Beef TV Dinner";-1051355635;1.83;9.43;6.43;0;0;33;11;4.38;3.28;15.2
99;"Golden";"Golden Pancake Mix";-485380544;2.36;8.83;6.82;1;1;29;13;21.7;17.9;14.7
100;"Golden";"Golden Grape Popsicles";95795107;1.95;9.49;8.48;1;1;6;7;9.3;16.1;6.34
101;"Golden";"Golden Home Style French Fries";-35692465;0.72;20.6;18.6;0;1;13;6;7.8;13.8;7.22
102;"Golden";"Golden Lime Popsicles";-151979476;2.45;18.2;17.2;0;1;16;10;6.01;18.3;14.8
103;"Golden";"Golden Ice Cream";-1175242926;0.95;9.81;8.81;1;0;13;8;6.22;15.8;11.8
104;"Golden";"Golden Ice Cream Sandwich";-1988992599;3.89;12.3;10.3;0;1;11;8;9.93;17.4;17.9
105;"Golden";"Golden Frozen Cauliflower";-2036358278;3.72;6.16;4.15;1;0;21;11;22.7;9.49;4.28
106;"Golden";"Golden Frozen Broccoli";-1879709741;2.96;14.6;11.6;1;1;36;6;17.4;14.7;18.5
107;"Golden";"Golden Frozen Corn";-197244436;1.81;19.9;18.8;0;0;25;11;4.91;8.76;11.2
108;"Golden";"Golden Frozen Peas";-732559000;2.19;11.9;9.89;1;1;34;6;8.69;9.67;20.5
109;"Golden";"Golden Popsicles";252443644;3.95;19.0;16.0;0;0;11;12;6.69;10.4;7.67
110;"Golden";"Golden Frozen Chicken Thighs";-980333583;2.35;12.0;10.0;1;1;34;13;22.3;10.2;6.75
111;"Golden";"Golden Frozen Chicken Wings";980566832;3.48;15.4;13.3;1;1;17;12;22.0;10.7;10.0
112;"Golden";"Golden Lemon Popsicles";-1143986273;1.13;9.35;7.35;0;1;35;5;21.9;15.0;13.8
113;"Faux Products";"Faux Products Silky Smooth Hair Conditioner";-1553908954;2.29;19.7;17.7;1;0;8;12;14.5;8.23;15.0
114;"Faux Products";"Faux Products Tartar Control Toothpaste";-80957425;0.92;20.6;19.6;0;0;31;11;19.1;10.5;9.73
115;"Faux Products";"Faux Products Whitening Toothpast";1398945324;0.65;20.6;18.6;1;0;33;13;10.6;11.7;9.62
116;"Faux Products";"Faux Products Toothpaste";1980120975;3.97;8.33;5.32;1;0;8;10;7.45;20.8;13.4
117;"Faux Products";"Faux Products Deodorant";1848633404;2.75;9.24;7.23;0;0;31;10;12.0;3.12;8.19
118;"Faux Products";"Faux Products Conditioning Shampoo";1732346392;1.48;8.27;6.27;1;0;20;13;8.55;14.1;3.48
119;"Faux Products";"Faux Products Extra Moisture Shampoo";709082942;2.28;20.1;19.1;0;0;7;12;7.86;8.33;14.7
120;"Faux Products";"Faux Products Angled Toothbrush";1763006918;2.26;12.9;9.89;0;0;23;13;9.99;5.6;22.0
121;"Faux Products";"Faux Products Apricot Shampoo";-152032410;2.98;11.6;8.6;1;0;21;11;21.4;6.61;22.4
122;"Faux Products";"Faux Products Childrens Aspirin";-1663244745;1.99;12.5;10.5;0;0;9;10;6.11;8.89;17.1
123;"Faux Products";"Faux Products Buffered Aspirin";1886894210;3.84;12.4;9.39;0;0;21;7;3.1;17.5;22.6
124;"Faux Products";"Faux Products 200 MG Ibuprofen";1151766869;1.21;13.3;10.3;1;0;8;11;7.72;19.7;17.3
125;"Faux Products";"Faux Products 200 MG Acetominifen";-290524135;2.32;11.1;9.1;0;0;31;11;15.1;5.18;8.03
126;"Faux Products";"Faux Products HCL Nasal Spray";903992286;1.61;20.8;19.7;1;0;22;6;21.3;18.0;5.03
127;"Faux Products";"Faux Products Dishwasher Detergent";-1430074596;1.74;16.7;13.7;1;0;10;14;20.6;12.2;16.3
128;"Faux Products";"Faux Products Multi-Symptom Cold Remedy";740339596;0.53;14.5;12.5;0;0;26;5;8.09;17.6;7.02
129;"Faux Products";"Faux Products Childrens Cold Remedy";136103699;1.55;9.49;7.48;1;0;23;13;14.2;10.6;3.49
130;"Faux Products";"Faux Products Laundry Detergent";1803368444;2.23;21.3;20.2;1;0;10;12;13.5;4.82;14.7
131;"Faux Products";"Faux Products Mint Mouthwash";-2119936977;2.4;19.1;16.1;0;0;26;13;20.9;10.2;5.48
132;"Denny";"Denny 60 Watt Lightbulb";-1344448110;1.92;20.0;18.0;1;0;14;12;5.59;12.5;20.2
133;"Denny";"Denny Plastic Forks";34694385;0.7;14.0;12.0;0;0;3;6;16.7;15.4;12.0
134;"Denny";"Denny Plastic Spoons";112720590;2.43;6.83;4.82;1;0;18;7;18.8;12.6;19.3
135;"Denny";"Denny Plastic Knives";-910542860;3.89;7.74;4.73;0;0;6;6;3.51;14.9;14.0
136;"Denny";"Denny C-Size Batteries";-50932100;3.87;17.4;15.3;0;0;33;10;9.7;7.86;11.0
137;"Denny";"Denny 100 Watt Lightbulb";-1771658212;3.7;13.3;11.3;1;0;13;11;9.01;22.0;22.3
138;"Denny";"Denny AAA-Size Batteries";1012096749;2.7;12.3;10.3;1;0;7;13;16.3;7.58;12.5
139;"Denny";"Denny Paper Plates";267268407;1.79;21.1;19.1;0;0;16;10;18.5;4.85;19.7
140;"Denny";"Denny Paper Cups";-2135719806;1.82;6.03;4.03;0;0;4;10;3.14;7.13;14.5
141;"Denny";"Denny 75 Watt Lightbulb";-2104463153;3.93;15.7;13.6;1;0;2;8;9.33;20.0;11.5
142;"Denny";"Denny Toilet Bowl Cleaner";-909946733;2.32;8.48;6.47;0;0;11;5;11.4;17.2;18.7
143;"Denny";"Denny Counter Cleaner";1245266898;2.46;9.39;7.39;0;0;5;8;16.0;19.5;13.4
144;"Denny";"Denny Glass Cleaner";-879286207;0.51;20.3;18.2;1;0;2;7;22.2;12.6;9.96
145;"Denny";"Denny 25 Watt Lightbulb";-1483522103;2.27;21.2;20.2;0;0;25;6;6.82;14.9;4.67
146;"Denny";"Denny AA-Size Batteries";-10570574;3.83;14.0;12.0;1;0;35;12;8.95;12.1;11.9
147;"Denny";"Denny D-Size Batteries";555404516;0.64;13.0;12.0;1;0;29;10;5.44;3.22;7.24
148;"Denny";"Denny Paper Towels";1330893383;3.95;8.94;6.93;1;0;17;9;4.75;17.3;18.5
149;"Denny";"Denny Soft Napkins";1005092595;2.49;17.6;16.6;1;0;27;6;6.87;14.6;5.81
150;"Denny";"Denny Scented Tissue";-1338675286;3.45;18.6;16.6;1;0;15;14;11.4;16.9;20.5
151;"Denny";"Denny Toilet Paper";1933028560;2.91;12.3;10.3;1;0;12;13;17.6;9.81;17.5
152;"Denny";"Denny Tissues";-1308014760;2.89;17.2;15.2;1;0;31;13;19.9;6.55;6.38
153;"Denny";"Denny Scented Toilet Tissue";1985840866;2.72;18.1;17.1;0;0;19;12;4.6;8.83;21.0
154;"Denny";"Denny Room Freshener";474628531;1.96;16.8;13.7;1;0;16;11;16.1;9.84;21.5
155;"Denny";"Denny Frying Pan";-270199810;3.81;20.6;18.6;1;0;26;8;12.9;18.9;5.37
156;"Denny";"Denny Copper Cleaner";1621779272;0.55;21.5;19.5;0;0;20;11;17.5;21.2;20.0
157;"Denny";"Denny Bees Wax Candles";179488269;2.95;20.2;18.2;1;0;18;9;9.04;22.2;20.5
158;"Denny";"Denny Silver Cleaner";-1053288957;1.58;21.1;18.1;0;0;5;8;13.6;4.56;15.2
159;"Denny";"Denny Copper Pot Scrubber";-960062192;1.71;10.1;8.1;0;0;14;5;10.4;13.8;18.5
160;"Denny";"Denny Economy Toilet Brush";1404665215;2.13;9.18;7.18;0;0;3;9;6.91;4.92;13.8
161;"Denny";"Denny Scissors";-1626864328;1.52;10.0;8.0;1;0;32;11;11.5;7.21;8.55
162;"Denny";"Denny Large Sponge";1513948073;2.85;13.8;10.8;1;0;6;8;8.34;16.3;12.4
163;"Denny";"Denny Screw Driver";17936299;2.38;14.7;11.6;0;0;4;7;12.9;18.6;7.11
164;"Ship Shape";"Ship Shape Extra Lean Hamburger";793425166;2.97;13.4;11.3;1;1;27;6;4.46;19.6;7.53
165;"Ship Shape";"Ship Shape Seasoned Hamburger";467624378;1.75;8.26;6.26;0;0;31;10;9.36;3.99;16.0
166;"Robust";"Robust Monthly Sports Magazine";-1881643064;2.47;11.2;10.1;1;0;31;6;6.67;18.9;14.4
167;"Robust";"Robust Monthly Auto Magazine";1195747566;0.6;14.4;13.3;0;0;6;11;13.8;5.88;18.3
168;"Robust";"Robust Monthly Computer Magazine";381997893;1.26;10.4;8.39;0;0;23;11;11.6;8.92;9.67
169;"Robust";"Robust Monthly Home Magazine";-1338728219;1.98;19.5;17.5;1;0;29;11;17.2;5.11;11.8
170;"Robust";"Robust Monthly Fashion Magazine";2095282525;3.2;9.56;8.56;0;0;23;9;5.74;4.41;9.95
171;"High Top";"High Top Summer Squash";-517219465;2.95;18.7;17.7;0;0;30;9;11.3;20.6;12.0
172;"High Top";"High Top Corn on the Cob";1569072833;3.32;16.1;14.1;0;1;3;8;12.3;18.4;4.75
173;"High Top";"High Top Asparagus";-67531386;1.43;21.9;20.8;0;0;13;13;22.0;9.15;7.34
174;"High Top";"High Top Sweet Peas";-1300308613;1.71;13.4;11.3;1;0;22;8;12.3;21.0;21.8
175;"High Top";"High Top New Potatos";-1207081847;3.85;6.82;4.82;1;1;16;8;13.0;15.4;13.2
176;"High Top";"High Top Beets";1157645560;2.27;12.1;10.1;1;0;29;7;10.4;14.9;8.42
177;"High Top";"High Top Prepared Salad";-1873883983;1.66;10.5;8.5;0;0;19;14;5.0;16.2;3.3
178;"High Top";"High Top Onions";-400932454;1.33;19.5;16.5;1;1;25;7;20.3;18.2;12.3
179;"High Top";"High Top Green Pepper";1638590292;2.75;19.7;18.7;0;1;2;6;3.93;15.1;21.6
180;"High Top";"High Top Shitake Mushrooms";-13214488;0.69;12.3;11.3;0;0;17;9;17.3;18.2;10.9
181;"High Top";"High Top Lettuce";2088278372;0.93;16.1;14.1;0;1;23;5;16.1;15.1;14.5
182;"High Top";"High Top Elephant Garlic";-455302286;1.84;9.05;6.05;0;1;11;12;13.2;6.07;13.5
183;"High Top";"High Top Red Pepper";-1478565736;2.41;7.06;5.05;1;0;22;8;4.13;19.5;18.6
184;"High Top";"High Top Garlic";2002651886;3.4;20.0;18.0;1;1;22;13;22.7;11.8;6.41
185;"High Top";"High Top Potatos";281925774;0.57;9.3;7.3;1;0;24;12;11.4;8.03;4.14
186;"High Top";"High Top Cauliflower";444073872;2.23;18.7;17.7;0;0;20;7;9.53;13.4;8.09
187;"High Top";"High Top Tomatos";-1974114902;1.32;14.8;13.8;0;1;15;6;12.6;13.4;3.67
188;"High Top";"High Top Mushrooms";1785537829;2.58;14.7;11.6;1;1;14;8;22.3;19.2;10.6
189;"High Top";"High Top Baby Onion";1816794483;3.45;8.51;6.51;1;0;4;13;5.62;8.03;21.8
190;"High Top";"High Top Dried Mushrooms";584017256;3.74;18.7;17.7;1;1;29;6;9.59;17.9;5.47
191;"High Top";"High Top Fresh Lima Beans";677244021;2.87;12.6;9.6;1;0;22;7;19.9;14.4;16.7
192;"High Top";"High Top Squash";-1252995867;1.52;10.7;7.69;0;1;4;7;20.3;15.6;14.2
193;"High Top";"High Top Limes";10441885;3.68;11.8;9.8;1;0;11;13;8.64;14.9;18.3
194;"High Top";"High Top Firm Tofu";1483393414;3.36;11.6;8.6;1;1;21;11;18.8;7.38;10.2
195;"High Top";"High Top Almonds";1855055289;1.77;8.72;6.72;0;1;24;13;17.6;13.0;10.4
196;"High Top";"High Top Macintosh Apples";-1664423140;2.47;12.1;10.1;1;1;27;10;7.29;19.1;16.2
197;"High Top";"High Top Golden Delcious Apples";-1990223928;2.91;21.5;19.5;0;1;29;7;15.4;18.9;17.6
198;"High Top";"High Top Red Delcious Apples";1429023582;0.92;17.2;14.2;1;1;27;13;6.26;7.83;5.92
199;"High Top";"High Top Lemons";405760132;1.67;19.2;18.2;1;0;33;10;19.8;4.92;4.65
200;"High Top";"High Top Fancy Plums";-407989541;2.65;6.74;4.73;0;0;12;6;8.38;17.6;20.4
201;"High Top";"High Top Plums";-2128715653;2.25;14.7;12.6;0;0;29;14;10.8;11.8;7.33
202;"High Top";"High Top Peaches";-1966567555;1.49;11.8;8.8;0;0;24;6;6.61;10.7;10.1
203;"High Top";"High Top Broccoli";-284102249;0.63;8.85;5.85;1;0;27;5;6.17;12.0;10.3
204;"High Top";"High Top Mandarin Oranges";-819416814;1.6;13.6;10.6;0;0;31;7;22.6;17.0;20.7
205;"High Top";"High Top Mixed Nuts";165585830;2.71;13.9;11.8;1;0;9;5;4.96;11.8;5.0
206;"High Top";"High Top Canned Peanuts";-867378620;2.11;10.9;7.89;0;1;15;7;22.6;19.6;17.8
207;"High Top";"High Top Sweet Onion";-774151855;1.24;13.5;11.5;1;1;7;14;16.0;17.8;11.3
208;"High Top";"High Top Cantelope";1590575553;2.47;13.4;10.3;1;1;23;6;6.06;21.4;8.32
209;"High Top";"High Top Honey Dew";-1440953991;1.87;17.3;15.2;1;0;16;6;7.99;18.6;21.4
210;"High Top";"High Top Fuji Apples";31997538;1.54;17.0;14.0;0;1;27;10;16.1;4.23;13.8
211;"High Top";"High Top Walnuts";403659413;2.72;14.5;12.5;1;0;1;7;4.6;12.1;14.0
212;"High Top";"High Top Oranges";1179148280;1.66;9.78;7.77;0;0;14;9;13.1;4.27;12.3
213;"High Top";"High Top Tangerines";853347492;0.56;7.22;5.21;1;0;11;11;4.08;7.71;7.56
214;"High Top";"High Top Party Nuts";931373697;2.82;21.6;19.6;1;1;18;13;8.56;14.5;4.93
215;"Tip Top";"Tip Top Lox";-1309307619;0.79;14.1;11.1;1;0;10;13;12.1;12.0;11.6
216;"Tip Top";"Tip Top Scallops";-2123057292;3.6;21.3;20.2;1;1;22;7;18.3;18.3;6.31
217;"Best Choice";"Best Choice Low Fat Cookies";-1976109755;0.68;16.0;14.0;1;0;21;13;14.4;10.5;22.3
218;"Best Choice";"Best Choice BBQ Potato Chips";613331990;3.44;16.2;14.2;0;0;13;6;19.8;12.0;4.03
219;"Best Choice";"Best Choice Corn Chips";-1804856784;2.52;20.6;18.6;1;1;15;12;22.4;14.8;7.04
220;"Best Choice";"Best Choice Low Fat BBQ Chips";1954795947;2.55;12.2;10.1;0;1;7;7;12.5;17.8;6.56
221;"Best Choice";"Best Choice Sugar Cookies";-1549481921;3.66;15.2;13.1;0;0;36;14;8.6;10.5;20.0
222;"Best Choice";"Best Choice Chocolate Chip Cookies";1512708148;3.95;15.0;12.0;0;1;29;9;19.9;16.3;21.9
223;"Best Choice";"Best Choice Fudge Cookies";-821358733;3.19;20.3;19.2;1;0;36;6;7.02;12.5;4.67
224;"Best Choice";"Best Choice Fudge Brownies";-1083737750;1.73;8.24;6.23;0;0;32;7;10.6;14.2;10.2
225;"Best Choice";"Best Choice Potato Chips";179700003;3.89;19.8;16.7;0;0;7;5;11.5;17.5;15.9
226;"Best Choice";"Best Choice Lemon Cookies";1652651532;0.76;10.4;7.39;1;1;22;13;18.1;11.6;10.7
227;"Best Choice";"Best Choice Graham Crackers";2024313406;1.98;15.7;14.6;0;1;12;9;5.65;5.62;3.49
228;"Best Choice";"Best Choice Cheese Crackers";-1495165023;0.82;8.71;6.71;0;1;11;14;22.6;7.63;7.58
229;"Best Choice";"Best Choice Buttered Popcorn";-1820965810;2.23;13.6;10.6;0;0;33;10;7.48;7.12;20.4
230;"Best Choice";"Best Choice No Salt Popcorn";-1742939605;1.19;14.7;12.6;1;1;21;12;5.64;11.9;6.97
231;"Best Choice";"Best Choice Low Fat Popcorn";1528764241;2.65;10.0;8.0;0;0;30;11;22.8;7.41;22.8
232;"Best Choice";"Best Choice Salsa Dip";715014567;2.63;16.1;15.1;0;0;16;9;17.4;3.75;22.6
233;"Best Choice";"Best Choice Avocado Dip";-286097102;2.46;18.6;16.6;1;0;1;9;12.4;21.9;11.2
234;"Best Choice";"Best Choice Salted Pretzels";-1797309438;2.7;14.4;12.3;0;1;17;5;22.1;17.5;9.5
235;"Best Choice";"Best Choice Cheese Dip";-114844132;3.55;11.5;8.5;0;0;35;10;7.91;22.0;14.7
